説明(英語),説明(英語)
filename : The filename to store this FaceRecognizer to (either XML/YAML).,filename : このFaceRecognizerを保存するファイル名（XML/YAMLのいずれか）。
"Saves this model to a given filename, either as XML or YAML.Every FaceRecognizer overwrites FaceRecognizer::save(FileStorage& fs) to save the internal model state. FaceRecognizer::save(const String& filename) saves the state of a model to the given filename.The suffix const means that prediction does not affect the internal model state, so the method can be safely called from within different threads.",すべての FaceRecognizer は、内部モデルの状態を保存するために FaceRecognizer::save(FileStorage& fs) を上書きします。FaceRecognizer::save(const String& filename) は、与えられたファイル名にモデルの状態を保存します。接尾辞 const は、予測が内部モデルの状態に影響しないことを意味し、このメソッドは異なるスレッド内から安全に呼び出すことができます。
Loads a FaceRecognizer and its model state.,FaceRecognizerとそのモデルの状態を読み込みます。
"Loads a persisted model and state from a given XML or YAML file . Every FaceRecognizer has to overwrite FaceRecognizer::load(FileStorage& fs) to enable loading the model state. FaceRecognizer::load(FileStorage& fs) in turn gets called by FaceRecognizer::load(const String& filename), to ease saving a model.",与えられたXMLまたはYAMLファイルから、永続化されたモデルと状態を読み込みます。すべての FaceRecognizer はモデル状態をロードするために FaceRecognizer::load(FileStorage& fs) を上書きしなければなりません。FaceRecognizer::load(FileStorage& fs) は、モデルの保存を容易にするために FaceRecognizer::load(const String& filename) によって呼び出されます。
Sets string info for the specified model's label.,指定されたモデルのラベルに文字列情報を設定します。
The string info is replaced by the provided value if it was set before for the specified label.,文字列情報は、指定されたラベルに以前に設定されていた場合は、指定された値で置き換えられます。
Gets string information by label.,ラベルの文字列情報を取得します。
If an unknown label id is provided or there is no label information associated with the specified label id the method returns an empty string.,未知のラベルIDが指定された場合や、指定されたラベルIDに関連するラベル情報がない場合、このメソッドは空の文字列を返します。
Gets vector of labels by string.,文字列によるラベルのベクトルを取得します。
The function searches for the labels containing the specified sub-string in the associated string info.,この関数は、関連付けられた文字列情報の中で、指定されたサブ文字列を含むラベルを検索します。
threshold parameter accessor - required for default BestMinDist collector,threshold パラメータアクセッサ - デフォルトの BestMinDist コレクターに必要です．
"Implemented in cv::face::LBPHFaceRecognizer, and cv::face::BasicFaceRecognizer.","cv::face::LBPHFaceRecognizer, および cv::face::BasicFaceRecognizer で実装されています．"
Sets threshold of model.,モデルの閾値を設定します．
See alsosetNumComponents,alsosetNumComponents を参照してください．
See alsogetNumComponents,alsogetNumComponents を参照してください．
See alsosetThreshold,alsosetThreshold を参照してください．
Implements cv::face::FaceRecognizer.,cv::face::FaceRecognizer をインプリメントします．
See alsogetThreshold,alsogetThreshold を参照してください．
Notes:,備考
"num_components : The number of components (read: Eigenfaces) kept for this Principal Component Analysis. As a hint: There's no rule how many components (read: Eigenfaces) should be kept for good reconstruction capabilities. It is based on your input data, so experiment with the number. Keeping 80 components should almost always be sufficient.",num_components :この主成分分析で保持する成分（固有顔）の数．ヒント：良い再構成機能のために、いくつの成分（固有顔）を保持すべきかという決まりはありません。入力データに応じて、その数を変えてみてください。ほとんどの場合、80個の成分を保持すれば十分でしょう。
threshold : The threshold applied in the prediction.,threshold : 予測時に適用される閾値です。
"Training and prediction must be done on grayscale images, use cvtColor to convert between the color spaces.",学習と予測は，グレースケール画像に対して行う必要があります．色空間間の変換には cvtColor を利用します．
"THE EIGENFACES METHOD MAKES THE ASSUMPTION, THAT THE TRAINING AND TEST IMAGES ARE OF EQUAL SIZE. (caps-lock, because I got so many mails asking for this). You have to make sure your input data has the correct shape, else a meaningful exception is thrown. Use resize to resize the images.","eigenfacesメソッドは，学習画像とテスト画像が同じサイズであることを仮定しています．(caps-lock, なぜなら、多くのメールでこのことを尋ねられたからです)。入力データが正しい形であることを確認しなければなりません。さもなければ、意味のある例外が投げられます。画像のサイズを変更するには resize を使います。"
This model does not support updating.Model internal data:num_components see EigenFaceRecognizer::create.,Model internal data:num_components see EigenFaceRecognizer::create.
threshold see EigenFaceRecognizer::create.,threshold EigenFaceRecognizer::createを参照。
eigenvalues The eigenvalues for this Principal Component Analysis (ordered descending).,eigenvalues この主成分分析の固有値（降順）。
eigenvectors The eigenvectors for this Principal Component Analysis (ordered by their eigenvalue).,固有ベクトル この主成分分析の固有ベクトル（固有値の順）。
mean The sample mean calculated from the training data.,mean 訓練データから計算された標本平均．
projections The projections of the training data.,projections 学習データの投影結果です。
"labels The threshold applied in the prediction. If the distance to the nearest neighbor is larger than the threshold, this method returns -1.",labels 予測に適用される閾値です。最近傍距離が閾値よりも大きい場合、このメソッドは-1を返します。
"num_components : The number of components (read: Fisherfaces) kept for this Linear Discriminant Analysis with the Fisherfaces criterion. It's useful to keep all components, that means the number of your classes c (read: subjects, persons you want to recognize). If you leave this at the default (0) or set it to a value less-equal 0 or greater (c-1), it will be set to the correct number (c-1) automatically.",num_components :Fisherfaces基準を用いたこの線形判別分析で保持する成分（フィッシャーフェイスと読みます）の数です。すべての成分、つまりクラスc（被験者、認識したい人物など）の数を保持しておくと便利です。これをデフォルト（0）のままにしておくか、0以下の値（c-1）に設定すると、自動的に正しい数（c-1）に設定されます。
"threshold : The threshold applied in the prediction. If the distance to the nearest neighbor is larger than the threshold, this method returns -1.",threshold : 予測時に適用される閾値です。直近の隣人との距離が閾値よりも大きい場合、このメソッドは-1を返します。
"THE FISHERFACES METHOD MAKES THE ASSUMPTION, THAT THE TRAINING AND TEST IMAGES ARE OF EQUAL SIZE. (caps-lock, because I got so many mails asking for this). You have to make sure your input data has the correct shape, else a meaningful exception is thrown. Use resize to resize the images.",fisherfacesメソッドは，トレーニング画像とテスト画像が同じサイズであることを仮定しています．(この方法は、訓練画像とテスト画像のサイズが等しいことを前提としています。）入力データが正しい形であることを確認しなければなりません。さもなければ、意味のある例外が投げられます。画像のサイズを変更するには resize を使います。
This model does not support updating.Model internal data:num_components see FisherFaceRecognizer::create.,Model internal data:num_components see FisherFaceRecognizer::create.
threshold see FisherFaceRecognizer::create.,threshold FisherFaceRecognizer::createを参照。
eigenvalues The eigenvalues for this Linear Discriminant Analysis (ordered descending).,eigenvalues この線形判別分析の固有値（降順）。
eigenvectors The eigenvectors for this Linear Discriminant Analysis (ordered by their eigenvalue).,eigenvectors この線形判別分析の固有ベクトル（固有値の順）。
labels The labels corresponding to the projections.,labels 射影に対応するラベルです。
"radius : The radius used for building the Circular Local Binary Pattern. The greater the radius, the smoother the image but more spatial information you can get.",radius : 円形ローカルバイナリパターンの構築に使用される半径です。半径が大きいほど、画像は滑らかになりますが、より多くの空間情報を得ることができます。
"neighbors : The number of sample points to build a Circular Local Binary Pattern from. An appropriate value is to use 8 sample points. Keep in mind: the more sample points you include, the higher the computational cost.",neighbors :Circular Local Binary Patternを構築するサンプルポイントの数です。8個のサンプルポイントを使用するのが適切な値です。サンプルポイントの数が多いほど、計算コストが高くなることに注意してください。
"grid_x : The number of cells in the horizontal direction, 8 is a common value used in publications. The more cells, the finer the grid, the higher the dimensionality of the resulting feature vector.",grid_x : 水平方向のセル数を指定します。セル数が多ければ多いほど、グリッドが細かくなり、結果として得られる特徴ベクトルの次元数が高くなります。
"grid_y : The number of cells in the vertical direction, 8 is a common value used in publications. The more cells, the finer the grid, the higher the dimensionality of the resulting feature vector.",grid_y :垂直方向のセル数，出版物では8が一般的に使われている値です．セル数が多ければ多いほど，グリッドが細かくなり，結果として得られる特徴ベクトルの次元が高くなります．
"The Circular Local Binary Patterns (used in training and prediction) expect the data given as grayscale images, use cvtColor to convert between the color spaces.",Circular Local Binary Patterns（学習および予測に利用される）は，グレースケール画像として与えられたデータを想定しており，色空間間の変換には cvtColor を利用します．
This model supports updating.Model internal data:radius see LBPHFaceRecognizer::create.,このモデルは，更新をサポートします．モデル内部データ： radius は LBPHFaceRecognizer::create を参照してください．
neighbors see LBPHFaceRecognizer::create.,neighbors は，LBPHFaceRecognizer::create を参照してください．
grid_x see LLBPHFaceRecognizer::create.,grid_xはLBPHFaceRecognizer::createを参照。
grid_y see LBPHFaceRecognizer::create.,grid_yはLBPHFaceRecognizer::createを参照。
threshold see LBPHFaceRecognizer::create.,threshold LBPHFaceRecognizer::createをご参照ください。
histograms Local Binary Patterns Histograms calculated from the given training data (empty if none was given).,histograms 与えられた学習データから算出されたローカルバイナリパターンのヒストグラム（何も与えられていない場合は空）。
labels Labels corresponding to the calculated Local Binary Patterns Histograms.,Labels 計算されたローカルバイナリパターンヒストグラムに対応するラベル。
See alsosetGridX,alsosetGridX を参照してください。
See alsogetGridX,alsogetGridXを参照。
See alsosetGridY,alsosetGridYを見る
See alsogetGridY,alsogetGridYを参照。
See alsosetRadius,See alsosetRadius
See alsogetRadius,alsogetRadiusを参照。
See alsosetNeighbors,See alsogetNeighbors
See alsogetNeighbors,alsogetNeighbors参照
Draws keypoints.,キーポイントを描画します．
image : Source image.,image : ソース画像．
keypoints : Keypoints from the source image.,keypoints :元画像からのキーポイント．
outImage : Output image. Its content depends on the flags value defining what is drawn in the output image. See possible flags bit values below.,outImage : 出力画像．その内容は，出力画像に何が描画されるかを定義する flags の値に依存します．以下の flags ビット値の例を参照してください．
color : Color of keypoints.,color : キーポイントの色を指定します．
flags : Flags setting drawing features. Possible flags bit values are defined by DrawMatchesFlags. See details above in drawMatches .,flags : キーポイントの色．描画機能を設定するFlags．可能な flags ビット値は， DrawMatchesFlags によって定義されます．詳細は，上記の drawMatches を参照してください．
"NoteFor Python API, flags are modified as cv.DRAW_MATCHES_FLAGS_DEFAULT, cv.DRAW_MATCHES_FLAGS_DRAW_RICH_KEYPOINTS, cv.DRAW_MATCHES_FLAGS_DRAW_OVER_OUTIMG, cv.DRAW_MATCHES_FLAGS_NOT_DRAW_SINGLE_POINTS","注意 Python API の場合， flags は cv.DRAW_MATCHES_FLAGS_DEFAULT, cv.DRAW_MATCHES_FLAGS_DRAW_RICH_KEYPOINTS, cv.DRAW_MATCHES_FLAGS_DRAW_OVER_OUTIMG, cv.DRAW_MATCHES_FLAGS_NOT_DRAW_SINGLE_POINTS のように変更されます．"
Draws the found matches of keypoints from two images.,2つの画像からキーポイントの一致を見つけて，それを描画します．
img1 : First source image.,img1 : 1枚目の入力画像．
keypoints1 : Keypoints from the first source image.,keypoints1 : 1枚目のソース画像からのキーポイント。
img2 : Second source image.,img2 : 2枚目の元画像。
keypoints2 : Keypoints from the second source image.,keypoints2 : 2枚目の画像から得られたキーポイント．
"matches1to2 : Matches from the first image to the second one, which means that keypoints1[i] has a corresponding point in keypoints2[matches[i]] .",matches1to2 : 1枚目の画像から2枚目の画像へのマッチ．つまり，keypoints1[i]がkeypoints2[matches[i]]内に対応する点を持つことを意味します．
outImg : Output image. Its content depends on the flags value defining what is drawn in the output image. See possible flags bit values below.,outImg : 出力画像．その内容は，出力画像に何を描画するかを定義する flags の値に依存します．以下の，可能な flags ビット値を参照してください．
"matchColor : Color of matches (lines and connected keypoints). If matchColor==Scalar::all(-1) , the color is generated randomly.",matchColor : マッチ（線と接続されたキーポイント）の色．matchColor==Scalar::all(-1) の場合，色はランダムに生成されます．
"singlePointColor : Color of single keypoints (circles), which means that keypoints do not have the matches. If singlePointColor==Scalar::all(-1) , the color is generated randomly.",singlePointColor : 単一のキーポイント（円）の色，つまりキーポイントにマッチがないことを意味します．singlePointColor==Scalar::all(-1) の場合，この色はランダムに生成されます．
"matchesMask : Mask determining which matches are drawn. If the mask is empty, all matches are drawn.",matchesMask : どのマッチを描画するかを決めるマスク．このマスクが空の場合，すべてのマッチが描画されます．
flags : Flags setting drawing features. Possible flags bit values are defined by DrawMatchesFlags.,flags :描画機能を設定するフラグ．flags のビット値は， DrawMatchesFlags で定義されます．
This function draws matches of keypoints from two images in the output image. Match is a line connecting two keypoints (circles). See cv::DrawMatchesFlags.,この関数は，2つの画像のキーポイント同士のマッチを，出力画像に描画します．マッチとは，2つのキーポイント（円）を結ぶ線のことです．cv::DrawMatchesFlags を参照してください．
Adds descriptors to a training set.,トレーニングセットにディスクリプタを追加します．
descriptors : Descriptors to add to a training set. Each row of the descriptors matrix is a descriptor.,descriptors :学習セットに追加するディスクリプタ．descriptors 行列の各行が，ディスクリプタになります．
The training set is clustered using clustermethod to construct the vocabulary.,学習セットは，clustermethod を用いてクラスタリングされ，語彙が構築されます．
Returns a training set of descriptors.,ディスクリプタのトレーニングセットを返します．
Returns the count of all descriptors stored in the training set.,学習セットに格納されている，すべての記述子の数を返します．
kmeans -based class to train visual vocabulary using the bag of visual words approach. : ,kmeans - based class を用いて，視覚的単語の袋（bag of visual words）アプローチで視覚的語彙を学習します．
Clusters train descriptors.,クラスタは，ディスクリプタを学習します．
descriptors : Descriptors to cluster. Each row of the descriptors matrix is a descriptor. Descriptors are not added to the inner train descriptor set.,descriptors :クラスタ化する記述子．descriptors 行列の各行は，ディスクリプタです．ディスクリプタは，内部の訓練ディスクリプタセットには追加されません．
"The vocabulary consists of cluster centers. So, this method returns the vocabulary. In the first variant of the method, train descriptors stored in the object are clustered. In the second variant, input descriptors are clustered.Implements cv::BOWTrainer.",語彙は，クラスタセンターから構成されます．そのため，このメソッドは，語彙を返します．このメソッドの第1のバージョンでは，オブジェクトに格納された訓練ディスクリプタがクラスタリングされます．第2のバージョンでは，入力ディスクリプタがクラスタリングされます． Implements cv::BOWTrainer.
Class to compute an image descriptor using the bag of visual words. ,視覚的単語の袋を用いて画像ディスクリプタを計算するために， cv::BOWTrainer.Class を実装します．
Such a computation consists of the following steps:,この計算は，以下のステップで構成されます．
Compute descriptors for a given image and its keypoints set.,与えられた画像とそのキーポイントセットに対するディスクリプタを計算します．
Find the nearest visual words from the vocabulary for each keypoint descriptor.,各キーポイントディスクリプタに対して，語彙から最も近い視覚的な単語を見つけます．
Compute the bag-of-words image descriptor as is a normalized histogram of vocabulary words encountered in the image. The i-th bin of the histogram is a frequency of i-th word of the vocabulary in the given image. ,画像中に現れる語彙の正規化されたヒストグラムである，bag-of-words画像記述子を計算します．ヒストグラムのi番目のビンは，与えられた画像における語彙のi番目の単語の頻度を表します．
Sets a visual vocabulary.,視覚的な語彙を設定します．
vocabulary : Vocabulary (can be trained using the inheritor of BOWTrainer ). Each row of the vocabulary is a visual word (cluster center).,vocabulary : 語彙（BOWTrainerの継承機能を用いて学習することができます）．語彙の各行は，視覚的な単語（クラスタの中心）を表します．
Returns the set vocabulary.,設定された語彙を返します．
Computes an image descriptor using the set visual vocabulary.,set visual vocabulary を用いて，画像ディスクリプタを計算します．
"image : Image, for which the descriptor is computed.",image : ディスクリプタが計算される画像．
keypoints : Keypoints detected in the input image.,keypoints :入力画像から検出されたキーポイント．
imgDescriptor : Computed output image descriptor.,imgDescriptor : 計算された出力画像のディスクリプタ．
pointIdxsOfClusters : Indices of keypoints that belong to the cluster. This means that pointIdxsOfClusters[i] are keypoint indices that belong to the i -th cluster (word of vocabulary) returned if it is non-zero.,pointIdxsOfClusters : クラスタに属するキーポイントのインデックス．つまり， pointIdxsOfClusters[i] は，非0の場合に返される，i番目のクラスタ（語彙の単語）に属するキーポイントのインデックスです．
descriptors : Descriptors of the image keypoints that are returned if they are non-zero.,descriptors :non-zeroの場合に返される，画像キーポイントのディスクリプタ．
keypointDescriptors : Computed descriptors to match with vocabulary.,keypointDescriptors :語彙と一致するように計算されたディスクリプタ．
"Returns an image descriptor size if the vocabulary is set. Otherwise, it returns 0.",vocabularyが設定されている場合は，画像ディスクリプタのサイズを返します．そうでない場合は，0を返します．
Returns an image descriptor type.,画像ディスクリプタのタイプを返します．
Adds descriptors to train a CPU(trainDescCollectionis) or GPU(utrainDescCollectionis) descriptor collection.,CPU(trainDescCollectionis) または GPU(utrainDescCollectionis) のディスクリプタコレクションを学習するために，ディスクリプタを追加します．
descriptors : Descriptors to add. Each descriptors[i] is a set of descriptors from the same train image.,descriptors :追加する記述子．各descriptors[i]は，同じ訓練画像から得られたディスクリプタの集合です．
"If the collection is not empty, the new descriptors are added to existing train descriptors.Reimplemented in cv::FlannBasedMatcher.",コレクションが空ではない場合，新しいディスクリプタは，既存の訓練ディスクリプタに追加されます．cv::FlannBasedMatcherで再実装されました．
Returns a constant link to the train descriptor collection trainDescCollection .,列車ディスクリプタコレクション trainDescCollection への定数リンクを返します．
Clears the train descriptor collections.,列車ディスクリプタコレクションをクリアします．
Reimplemented from cv::Algorithm.Reimplemented in cv::FlannBasedMatcher.,cv::Algorithm.Reimplemented in cv::FlannBasedMatcher.Reimplemented from cv::Algorithm.Reimplemented in cv::FlannBasedMatcher.
Returns true if there are no train descriptors in the both collections.,両方のコレクションに列車ディスクリプタが存在しない場合は，真を返します．
Reimplemented from cv::Algorithm.,cv::Algorithm を再実装したものです．
Returns true if the descriptor matcher supports masking permissible matches.,ディスクリプタ Matcher が，許可されたマッチのマスキングをサポートする場合に true を返します．
"Implemented in cv::FlannBasedMatcher, and cv::BFMatcher.","cv::FlannBasedMatcher, および cv::BFMatcher で実装されています．"
Trains a descriptor matcher.,ディスクリプタ Matcherを学習します．
"Trains a descriptor matcher (for example, the flann index). In all methods to match, the method train() is run every time before matching. Some descriptor matchers (for example, BruteForceMatcher) have an empty implementation of this method. Other matchers really train their inner structures (for example, FlannBasedMatcher trains flann::Index ).Reimplemented in cv::FlannBasedMatcher.",ディスクリプタ Matcherを学習します（例えば，flannインデックス）．マッチングを行うすべてのメソッドにおいて，マッチングの前に毎回 train() が実行されます．一部のディスクリプタ Matcher（例えば，BruteForceMatcher）は，このメソッドの実装が空です．その他の Matcher は，実際に内部構造を学習します（例えば， FlannBasedMatcher は flann::Index を学習します）．
Finds the best match for each descriptor from a query set.,クエリセットから，各ディスクリプタに最もマッチするものを見つけます．
queryDescriptors : Query set of descriptors.,queryDescriptors :ディスクリプタのクエリセット．
trainDescriptors : Train set of descriptors. This set is not added to the train descriptors collection stored in the class object.,trainDescriptors :ディスクリプタの訓練セット．この集合は，クラスオブジェクトに格納されている訓練ディスクリプタコレクションには追加されません．
"matches : Matches. If a query descriptor is masked out in mask , no match is added for this descriptor. So, matches size may be smaller than the query descriptors count.",matches : 一致するもの．クエリディスクリプタが mask でマスクアウトされている場合，このディスクリプタに対するマッチは追加されません．そのため， matches のサイズは，クエリディスクリプタの数よりも小さくなる可能性があります．
mask : Mask specifying permissible matches between an input query and train matrices of descriptors.,mask : 入力されたクエリと訓練ディスクリプタの行列との間の，許容されるマッチを指定するマスク．
"In the first variant of this method, the train descriptors are passed as an input argument. In the second variant of the method, train descriptors collection that was set by DescriptorMatcher::add is used. Optional mask (or masks) can be passed to specify which query and training descriptors can be matched. Namely, queryDescriptors[i] can be matched with trainDescriptors[j] only if mask.at<uchar>(i,j) is non-zero.","このメソッドの第1のバージョンでは，訓練ディスクリプタが入力引数として渡されます．このメソッドの第2のバージョンでは， DescriptorMatcher::add によってセットされた訓練ディスクリプタコレクションが利用されます．オプションの mask （複数可）を渡すことで，どのクエリと訓練ディスクリプタをマッチングさせるかを指定できます．つまり， mask.at<uchar>(i,j) が0ではない場合にのみ， queryDescriptors[i] と trainDescriptors[j] がマッチングされます．"
Finds the k best matches for each descriptor from a query set.,クエリセットから各ディスクリプタに対して，k個のベストマッチを見つけます．
matches : Matches. Each matches[i] is k or less matches for the same query descriptor.,matches : マッチ．各 matches[i] は，同じクエリディスクリプタに対する k 個以下のマッチである．
k : Count of best matches found per each query descriptor or less if a query descriptor has less than k possible matches in total.,k : 各クエリ記述子ごとに見つかったベストマッチの数，またはクエリ記述子のマッチ可能数が合計で k 個以下の場合はそれ以下．
"compactResult : Parameter used when the mask (or masks) is not empty. If compactResult is false, the matches vector has the same size as queryDescriptors rows. If compactResult is true, the matches vector does not contain matches for fully masked-out query descriptors.",compactResult : マスク（複数可）が空ではない場合に使用されるパラメータ．compactResult が false の場合， matches vector は queryDescriptors の行数と同じサイズになります．compactResult が true の場合， matches vector には，完全にマスクアウトされたクエリディスクリプタに対するマッチは含まれません．
These extended variants of DescriptorMatcher::match methods find several best matches for each query descriptor. The matches are returned in the distance increasing order. See DescriptorMatcher::match for the details about query and train descriptors.,これらの DescriptorMatcher::match メソッドの拡張版は，各クエリディスクリプタに対して，複数のベストマッチを見つけます．これらのマッチは，距離の昇順で返されます．クエリディスクリプタと訓練ディスクリプタの詳細については， DescriptorMatcher::match を参照してください．
"For each query descriptor, finds the training descriptors not farther than the specified distance.",各クエリディスクリプタに対して，指定された距離よりも遠くないトレーニングディスクリプタを見つけます．
matches : Found matches.,matches : 見つかったマッチ。
"maxDistance : Threshold for the distance between matched descriptors. Distance means here metric distance (e.g. Hamming distance), not the distance between coordinates (which is measured in Pixels)!",maxDistance : マッチしたディスクリプタ間の距離の閾値．ここでいう距離とは，座標間の距離（これはピクセル単位で計測されます）ではなく，メトリックな距離（例えば，ハミング距離）を意味します
"For each query descriptor, the methods find such training descriptors that the distance between the query descriptor and the training descriptor is equal or smaller than maxDistance. Found matches are returned in the distance increasing order.",各クエリディスクリプタに対して，メソッドは，クエリディスクリプタとトレーニングディスクリプタの間の距離が maxDistance と同等かそれよりも小さくなるようなトレーニングディスクリプタを見つけます．検索されたマッチは，距離が大きい順に返されます．
masks : Set of masks. Each masks[i] specifies permissible matches between the input query descriptors and stored train descriptors from the i-th image trainDescCollection[i].,masks :masks : マスクの集合．各 masks[i] は，入力されたクエリディスクリプタと，i番目の画像 trainDescCollection[i] から保存された訓練ディスクリプタとの間の許容されるマッチングを指定する．
Creates a descriptor matcher of a given type with the default parameters (using default constructor).,与えられたタイプのディスクリプタ Matcher を，デフォルトのパラメータ（デフォルトコンストラクタを利用）で作成します．
descriptorMatcherType : Descriptor matcher type. Now the following matcher types are supported:,descriptorMatcherType :ディスクリプタ・マッチャータイプ．現在，以下のマッチャータイプがサポートされています．
BruteForce (it uses L2 ),BruteForce（L2 を利用します）．
BruteForce-L1,BruteForce-L1
BruteForce-Hamming,BruteForce-Hamming
BruteForce-Hamming(2),BruteForce-Hamming(2)
FlannBased,FlannBased
Abstract base class for matching keypoint descriptors. ,キーポイントのディスクリプタをマッチングするための抽象的な基底クラス．
It has two groups of match methods: for matching descriptors of an image with another image or with an image set. ,これには2つのマッチングメソッドがあり，画像のディスクリプタを別の画像や画像セットとマッチングさせることができます．
Brute-force descriptor matcher. ,ブルートフォースディスクリプタ Matcher．
"For each descriptor in the first set, this matcher finds the closest descriptor in the second set by trying each one. This descriptor matcher supports masking permissible matches of descriptor sets. ",この Matcherは，第1の集合の各ディスクリプタに対して，第2の集合の中で最も近いディスクリプタを，それぞれ試しながら見つけます．このディスクリプタ Matcherは，ディスクリプタ集合の許容されるマッチングのマスクをサポートします．
Implements cv::DescriptorMatcher.,cv::DescriptorMatcher を実装しています．
Flann-based descriptor matcher. ,Flann ベースのディスクリプタ Matcher．
"This matcher trains cv::flann::Index on a train descriptor collection and calls its nearest search methods to find the best matches. So, this matcher may be faster when matching a large train collection than the brute force matcher. FlannBasedMatcher does not support masking permissible matches of descriptor sets because flann::Index does not support this. : ",この Matcherは，訓練ディスクリプタ集合に対して cv::flann::Index を学習させ，最適なマッチを見つけるためにその最近接探索メソッドを呼び出します．そのため，大規模な訓練コレクションをマッチングする場合，このマッチャは，ブルートフォース・マッチャよりも高速になる可能性があります．flann::Index がサポートしていないので，FlannBasedMatcher は，ディスクリプタ集合の許容されるマッチをマスクすることをサポートしません．
"If the collection is not empty, the new descriptors are added to existing train descriptors.Reimplemented from cv::DescriptorMatcher.",コレクションが空ではない場合，新しいディスクリプタは，既存の訓練ディスクリプタに追加されます．
Reimplemented from cv::DescriptorMatcher.,cv::DescriptorMatcher を再実装したものです．
"Trains a descriptor matcher (for example, the flann index). In all methods to match, the method train() is run every time before matching. Some descriptor matchers (for example, BruteForceMatcher) have an empty implementation of this method. Other matchers really train their inner structures (for example, FlannBasedMatcher trains flann::Index ).Reimplemented from cv::DescriptorMatcher.",ディスクリプタ Matcherを学習します（例えば，flannインデックス）．マッチングを行うすべてのメソッドにおいて，マッチングの前に毎回 train() が実行されます．一部のディスクリプタ Matcher（例えば，BruteForceMatcher）は，このメソッドの実装が空です．その他の Matcher は，実際に内部構造を学習します（例えば， FlannBasedMatcher は flann::Index を学習します）． cv::DescriptorMatcher からの再実装．
Detects keypoints in an image (first variant) or image set (second variant).,画像（第1の形式）または画像集合（第2の形式）からキーポイントを検出します．
image : Image.,image : 画像．
keypoints : The detected keypoints. In the second variant of the method keypoints[i] is a set of keypoints detected in images[i] .,keypoints :検出されたキーポイント．このメソッドの第2のバージョンでは，keypoints[i]は，images[i]から検出されたキーポイントの集合になります．
mask : Mask specifying where to look for keypoints (optional). It must be a 8-bit integer matrix with non-zero values in the region of interest.,mask : キーポイントを探す場所を指定するマスク（オプション）．これは，8ビットの整数行列でなければならず，関心領域内では非0の値を持ちます．
Computes the descriptors for a set of keypoints detected in an image (first variant) or image set (second variant).,画像（第1の形式）または画像集合（第2の形式）から検出されたキーポイントの集合に対するディスクリプタを計算します．
"keypoints : Input collection of keypoints. Keypoints for which a descriptor cannot be computed are removed. Sometimes new keypoints can be added, for example: SIFT duplicates keypoint with several dominant orientations (for each orientation).",keypoints :キーポイントの入力コレクション．ディスクリプタが計算できないキーポイントは削除されます．時には，新しいキーポイントが追加されることもあります．SIFTは，複数の優勢な方向を持つキーポイントを複製します（各方向に対して）．
descriptors : Computed descriptors. In the second variant of the method descriptors[i] are descriptors computed for a keypoints[i]. Row j is the keypoints (or keypoints[i]) is the descriptor for keypoint j-th keypoint.,ディスクリプタ．計算されたディスクリプタ．この手法の第2のバージョンでは，descriptors[i]は，keypoints[i]に対して計算されたディスクリプタです．j行は，keypoints（または keypoints[i] ）が，j番目のキーポイントに対するディスクリプタです．
Reimplemented in cv::xfeatures2d::DAISY.,cv::xfeatures2d::DAISYで再実装されています．
Detects keypoints and computes the descriptors,キーポイントを検出し，ディスクリプタを計算します．
Return true if detector object is empty.,検出器オブジェクトが空の場合は，trueを返します．
Returns the algorithm string identifier. This string is used as top level xml/yml node tag when the object is saved to a file or string.,アルゴリズムの文字列識別子を返します．この文字列は，オブジェクトがファイルや文字列に保存される際に，xml/yml のトップレベルノードタグとして利用されます．
"Reimplemented from cv::Algorithm.Reimplemented in cv::AKAZE, cv::KAZE, cv::SimpleBlobDetector, cv::GFTTDetector, cv::AgastFeatureDetector, cv::FastFeatureDetector, cv::MSER, cv::ORB, cv::BRISK, cv::SIFT, and cv::AffineFeature.","cv::Algorithm.Reimplemented from cv::AKAZE, cv::KAZE, cv::SimpleBlobDetector, cv::GFTTDetector, cv::AgastFeatureDetector, cv::FastFeatureDetector, cv::MSER, cv::ORB, cv::BRISK, cv::SIFT, and cv::AffineFeature."
"NoteThe contrast threshold will be divided by nOctaveLayers when the filtering is applied. When nOctaveLayers is set to default and if you want to use the value used in D. Lowe paper, 0.03, set this argument to 0.09.",注意 フィルタリングが適用されると，コントラスト閾値は nOctaveLayers で割られます．nOctaveLayers がデフォルトに設定されていて，D. Lowe の論文で使われている値（0.03）を利用したい場合は，この引数を 0.09 に設定してください．
nfeatures : The number of best features to retain. The features are ranked by their scores (measured in SIFT algorithm as the local contrast),nfeatures :保持するベストフィーチャーの数。特徴量は、そのスコア（SIFTアルゴリズムでは、局所的なコントラストとして測定される）によってランク付けされる。
nOctaveLayers : The number of layers in each octave. 3 is the value used in D. Lowe paper. The number of octaves is computed automatically from the image resolution.,nOctaveLayers : 各オクターブのレイヤー数。3は、D. Loweの論文で使われている値です。オクターブの数は、画像の解像度から自動的に計算されます。
"contrastThreshold : The contrast threshold used to filter out weak features in semi-uniform (low-contrast) regions. The larger the threshold, the less features are produced by the detector.",contrastThreshold : 半均一（低コントラスト）な領域の弱い特徴をフィルタリングするために使用するコントラスト閾値。閾値が大きいほど，検出器で生成される特徴は少なくなります。
